tag,eval_attribute,eval_group,metric,CI_quantile_95,comparator,baseline,delta
aware_auc_min,race_eth,overall,ace_abs_logistic_log,mid,0.006451692661253417,0.0022928699882162214,0.004440865406038424
aware_auc_min,race_eth,overall,ace_abs_logistic_log,upper,0.008297857680594286,0.003563683836221233,0.005601924168385988
aware_auc_min,race_eth,overall,ace_abs_logistic_log_max,lower,0.006299624343380724,0.0044081564638661225,-0.002977869713956524
aware_auc_min,race_eth,overall,ace_abs_logistic_log_max,mid,0.009805560196829112,0.006584550256207023,0.0029593641624021776
aware_auc_min,race_eth,overall,ace_abs_logistic_log_max,upper,0.012758878908390751,0.010546190410837958,0.006374197674403796
aware_auc_min,race_eth,overall,ace_abs_logistic_log_min,lower,0.0010356475035722108,0.0005455736716145462,-0.0012397006006905746
aware_auc_min,race_eth,overall,ace_abs_logistic_log_min,mid,0.004372666228295159,0.0015286791625643264,0.002826824048793046
aware_auc_min,race_eth,overall,ace_abs_logistic_log_min,upper,0.0066365301936052775,0.0031507519159381754,0.00525850728702375
aware_auc_min,race_eth,overall,auc,lower,0.8198977854257058,0.8110253698376069,0.0013344192086391289
aware_auc_min,race_eth,overall,auc,mid,0.8304148964280988,0.8225203241983567,0.007211950254486732
aware_auc_min,race_eth,overall,auc,upper,0.8407179836668142,0.833705633100115,0.016484471981736304
aware_auc_min,race_eth,overall,auc_max,lower,0.8446756813494708,0.8325296044482707,-0.008190584058590755
aware_auc_min,race_eth,overall,auc_max,mid,0.8617789263563587,0.8515159750991441,0.01010207683620512
aware_auc_min,race_eth,overall,auc_max,upper,0.8819412926278837,0.8757246904002776,0.024724499180965497
aware_auc_min,race_eth,overall,auc_min,lower,0.7807403460381144,0.7729425777331995,-0.008512444392598942
aware_auc_min,race_eth,overall,auc_min,mid,0.8080557367933225,0.8027925483436658,0.004861552240922884
aware_auc_min,race_eth,overall,auc_min,upper,0.8249009510113692,0.819139771667941,0.023241384310644847
aware_auc_min,race_eth,overall,loss_bce,lower,0.08827042979113339,0.08834025556694637,-0.000615166381350004
aware_auc_min,race_eth,overall,loss_bce,mid,0.09042638760180999,0.08983486453100105,0.0006522774777204879
aware_auc_min,race_eth,overall,loss_bce,upper,0.09290525795792273,0.09140543405682068,0.001952412792191566
aware_auc_min,race_eth,overall,loss_bce_max,lower,0.10161241400965,0.10476268590248705,-0.004483578171042351
aware_auc_min,race_eth,overall,loss_bce_max,mid,0.10813518766860877,0.10979612270307242,-0.0015689919789553045
aware_auc_min,race_eth,overall,loss_bce_max,upper,0.11738890466709193,0.11577975841091465,0.0022815415147102816
aware_auc_min,race_eth,overall,loss_bce_min,lower,0.07500892783771942,0.0761301228791147,-0.0024669755335959024
aware_auc_min,race_eth,overall,loss_bce_min,mid,0.0783493928639638,0.07893690782465498,-0.0005002207448046303
aware_auc_min,race_eth,overall,loss_bce_min,upper,0.08211233431811162,0.08171666721058617,0.001462292721306689
aware_balanced,age_group,[18-30),ace_abs_logistic_log,lower,0.006529791723009105,0.006994083170015287,-0.0010858616389796457
aware_balanced,age_group,[18-30),ace_abs_logistic_log,mid,0.008925304575167551,0.009369561607927184,-0.0005176405187754525
aware_balanced,age_group,[18-30),ace_abs_logistic_log,upper,0.011038181365515825,0.011495426244857773,0.0002880657662080292
aware_balanced,age_group,[18-30),auc,lower,0.6323176132754807,0.6401698940900082,-0.01938778438439826
aware_balanced,age_group,[18-30),auc,mid,0.720248207412169,0.7258517183590074,-0.005758473181967816
aware_balanced,age_group,[18-30),auc,upper,0.8013682113149214,0.8048497918531952,0.008624509286255359
aware_balanced,age_group,[18-30),loss_bce,lower,0.04080131396705066,0.04087014661384419,-0.000782979515778724
aware_balanced,age_group,[18-30),loss_bce,mid,0.04653193455323576,0.04630718891649169,0.00018113456264286926
aware_balanced,age_group,[18-30),loss_bce,upper,0.05397444395182133,0.053429250213372415,0.0014600921008634464
aware_balanced,age_group,[30-45),ace_abs_logistic_log,lower,0.003975967834420911,0.003850169440258834,-0.0005849653468464833
aware_balanced,age_group,[30-45),ace_abs_logistic_log,mid,0.005088564767941777,0.00445309875178108,0.00010911085646144033
aware_balanced,age_group,[30-45),ace_abs_logistic_log,upper,0.00563280863643817,0.005778552459243687,0.001105021950559697
aware_balanced,age_group,[30-45),auc,lower,0.8584172893551232,0.8582392598209874,-0.010112224354235944
aware_balanced,age_group,[30-45),auc,mid,0.8905351354594745,0.8910390950048321,0.0002521393545488193
aware_balanced,age_group,[30-45),auc,upper,0.919470807369363,0.9198735281764132,0.006965908205955067
aware_balanced,age_group,[30-45),loss_bce,lower,0.028035030397513185,0.02778866922318538,-0.0004912164602678288
aware_balanced,age_group,[30-45),loss_bce,mid,0.029640124501378227,0.029460069523719747,0.00011991376374983695
aware_balanced,age_group,[30-45),loss_bce,upper,0.03137143815750939,0.03138458780236863,0.0009577825840271357
aware_balanced,age_group,[45-55),ace_abs_logistic_log,lower,0.0008465813389667173,0.001279131374349754,-0.002142573831288924
aware_balanced,age_group,[45-55),ace_abs_logistic_log,mid,0.0026903166415310842,0.002851629678967219,-0.0004864269983894978
aware_balanced,age_group,[45-55),ace_abs_logistic_log,upper,0.004296947794277177,0.005284838463572861,0.0016204557002606227
aware_balanced,age_group,[45-55),auc,lower,0.7851219980787704,0.7846429181342727,-0.010113165759419281
aware_balanced,age_group,[45-55),auc,mid,0.8193427793788025,0.8193094246984737,0.00037730814387870737
aware_balanced,age_group,[45-55),auc,upper,0.8530702716405166,0.8542403938520653,0.008657807663571352
aware_balanced,age_group,[45-55),loss_bce,lower,0.0769668692903036,0.07708649964402048,-0.0008896800099473269
aware_balanced,age_group,[45-55),loss_bce,mid,0.0805023665834918,0.08065156457253998,-0.0001860652721697581
aware_balanced,age_group,[45-55),loss_bce,upper,0.08410265451399565,0.08422851565742946,0.0008375435469074092
aware_balanced,age_group,[55-65),ace_abs_logistic_log,lower,0.0017315371653929457,0.0011494322748241068,-0.0022866896731480292
aware_balanced,age_group,[55-65),ace_abs_logistic_log,mid,0.0032173129746688378,0.003662883647986341,0.00012006373518192023
aware_balanced,age_group,[55-65),ace_abs_logistic_log,upper,0.005227444071900506,0.00517023313852083,0.0010901568019439987
aware_balanced,age_group,[55-65),auc,lower,0.7974350804373023,0.7965940417643216,-0.007545509631024192
aware_balanced,age_group,[55-65),auc,mid,0.8195207540887028,0.8183635023245092,0.0018910650478350388
aware_balanced,age_group,[55-65),auc,upper,0.8407277828873221,0.8393843412609981,0.006339170220668109
aware_balanced,age_group,[55-65),loss_bce,lower,0.1076920798044311,0.10784351929979441,-0.0007388216642029783
aware_balanced,age_group,[55-65),loss_bce,mid,0.11105377769625183,0.11121717530790903,-0.00018777704115936766
aware_balanced,age_group,[55-65),loss_bce,upper,0.1144959763003927,0.11471295758131712,0.0005475394198672025
aware_balanced,age_group,[65-75),ace_abs_logistic_log,lower,0.0009885368120197057,0.0009611734977800106,-0.0012711630821729467
aware_balanced,age_group,[65-75),ace_abs_logistic_log,mid,0.0032975368214560874,0.0034254670189336244,-0.0002714884060384279
aware_balanced,age_group,[65-75),ace_abs_logistic_log,upper,0.006161751931034906,0.006367296129461852,0.0015304845876298254
aware_balanced,age_group,[65-75),auc,lower,0.763106222018722,0.761934422059422,-0.005040618640618632
aware_balanced,age_group,[65-75),auc,mid,0.7896650386650387,0.7890783475783476,0.00047537647537643224
aware_balanced,age_group,[65-75),auc,upper,0.8124946174196175,0.8120321682946682,0.006580474155474199
aware_balanced,age_group,[65-75),loss_bce,lower,0.1051914081265547,0.10528258617812415,-0.0010656280774169057
aware_balanced,age_group,[65-75),loss_bce,mid,0.10857087921815897,0.10873550789588901,-0.00018492553128309636
aware_balanced,age_group,[65-75),loss_bce,upper,0.11263631435358915,0.11285875657486727,0.0008694287626764139
aware_balanced,age_group,[75-91),ace_abs_logistic_log,lower,0.005249359338089559,0.005156818356353264,-0.001824983482308192
aware_balanced,age_group,[75-91),ace_abs_logistic_log,mid,0.00788230329440712,0.008389488535122364,-0.0006230657587578104
aware_balanced,age_group,[75-91),ace_abs_logistic_log,upper,0.011530267529026137,0.011363847800251192,0.001288528420934091
aware_balanced,age_group,[75-91),auc,lower,0.7031505977104727,0.7047391416837208,-0.0063044819350496824
aware_balanced,age_group,[75-91),auc,mid,0.7285579428752569,0.7297804795047387,-0.0014797859958759485
aware_balanced,age_group,[75-91),auc,upper,0.7522502754300827,0.7537427180015507,0.004896952632241383
aware_balanced,age_group,[75-91),loss_bce,lower,0.15878530965290086,0.1588619073771764,-0.0013846706433804992
