tag,eval_attribute,eval_group,metric,CI_quantile_95,comparator,baseline,delta
aware_auc_min,age_group,[18-30),ace_abs_logistic_log,lower,0.0035891538442782973,0.004255025173323791,-0.0034975799341483453
aware_auc_min,age_group,[18-30),ace_abs_logistic_log,mid,0.005839165277196332,0.007383483339743469,-0.0017380998502434394
aware_auc_min,age_group,[18-30),ace_abs_logistic_log,upper,0.011129757516042081,0.009938293954498724,0.005591282471269219
aware_auc_min,age_group,[18-30),auc,lower,0.697646520618727,0.6958544303588263,-0.007890502388517046
aware_auc_min,age_group,[18-30),auc,mid,0.7335729122456293,0.7322122243421166,0.0005992778255966558
aware_auc_min,age_group,[18-30),auc,upper,0.7661656432997895,0.7657481073001493,0.011612288732254686
aware_auc_min,age_group,[18-30),loss_bce,lower,0.15195125423375108,0.15177639415652183,-0.0022261725976082574
aware_auc_min,age_group,[18-30),loss_bce,mid,0.15702278052394433,0.1572021356717529,-8.533313986480717e-06
aware_auc_min,age_group,[18-30),loss_bce,upper,0.16225599195104712,0.16269371741469266,0.001663658253866671
aware_auc_min,age_group,[30-45),ace_abs_logistic_log,lower,0.003607701506029374,0.00318358037237234,-0.000924032211348799
aware_auc_min,age_group,[30-45),ace_abs_logistic_log,mid,0.006435549949306594,0.005820155063469309,-1.5668419982945055e-05
aware_auc_min,age_group,[30-45),ace_abs_logistic_log,upper,0.01063820241786247,0.00917886762928454,0.0061017376767575834
aware_auc_min,age_group,[30-45),auc,lower,0.7506299877825197,0.7542944151207033,-0.010876369484505183
aware_auc_min,age_group,[30-45),auc,mid,0.7776153187582012,0.7803943835614338,-0.0024510649289331554
aware_auc_min,age_group,[30-45),auc,upper,0.8006339063438922,0.8022015033479268,0.0022015704137694756
aware_auc_min,age_group,[30-45),loss_bce,lower,0.13912883122381092,0.13879281720618253,-0.0004348732148783133
aware_auc_min,age_group,[30-45),loss_bce,mid,0.1428651717099642,0.1422828850424899,0.00019968845587070572
aware_auc_min,age_group,[30-45),loss_bce,upper,0.14706560106218552,0.14624381090477245,0.0031529033043664265
aware_auc_min,age_group,[45-55),ace_abs_logistic_log,lower,0.004301864513725088,0.004223373472776593,-0.002696623466835837
aware_auc_min,age_group,[45-55),ace_abs_logistic_log,mid,0.006947290165445093,0.007901366614668644,-0.000563528629429399
aware_auc_min,age_group,[45-55),ace_abs_logistic_log,upper,0.013986496966232713,0.009773927826091596,0.007334532300896555
aware_auc_min,age_group,[45-55),auc,lower,0.6885450533666744,0.6897467987307033,-0.006972966517672243
aware_auc_min,age_group,[45-55),auc,mid,0.7181110967586792,0.7192075345392626,-0.0012701902157575828
aware_auc_min,age_group,[45-55),auc,upper,0.7486922412784603,0.749340730861032,0.005656347538991249
aware_auc_min,age_group,[45-55),loss_bce,lower,0.18108589442587775,0.1807024192899468,-0.0011940807240461814
aware_auc_min,age_group,[45-55),loss_bce,mid,0.18617804434378754,0.1858864897659877,0.00030468861706303696
aware_auc_min,age_group,[45-55),loss_bce,upper,0.19126109552874643,0.19096340507878706,0.0021725674448020258
aware_auc_min,age_group,[55-65),ace_abs_logistic_log,lower,0.004356207920779661,0.003644603401850295,-0.002304322695922263
aware_auc_min,age_group,[55-65),ace_abs_logistic_log,mid,0.007640971844007858,0.007474765798627163,0.00032894182570932917
aware_auc_min,age_group,[55-65),ace_abs_logistic_log,upper,0.013717746651478036,0.010138187754627659,0.007060138627415164
aware_auc_min,age_group,[55-65),auc,lower,0.7308521668443944,0.7309171309578367,-0.005915502937660316
aware_auc_min,age_group,[55-65),auc,mid,0.7542212199496159,0.7543616068118277,-0.0003218858815753345
aware_auc_min,age_group,[55-65),auc,upper,0.7754094935513404,0.7759245986040563,0.005508221687799458
aware_auc_min,age_group,[55-65),loss_bce,lower,0.1862936137279385,0.18611795037399836,-0.0011628638231159366
aware_auc_min,age_group,[55-65),loss_bce,mid,0.19036276420865844,0.19012113974257033,0.00022614119097524865
aware_auc_min,age_group,[55-65),loss_bce,upper,0.1944603257642145,0.19427927267739006,0.0017600984691334266
aware_auc_min,age_group,[65-75),ace_abs_logistic_log,lower,0.006369250616426853,0.005624452791689646,-0.0019846092472582733
aware_auc_min,age_group,[65-75),ace_abs_logistic_log,mid,0.00851048530171469,0.009267825647068344,-0.00013380450359455273
aware_auc_min,age_group,[65-75),ace_abs_logistic_log,upper,0.01507501722255299,0.01077530336131229,0.00769223916720958
aware_auc_min,age_group,[65-75),auc,lower,0.6984389507274094,0.700243565545803,-0.007972960242666957
aware_auc_min,age_group,[65-75),auc,mid,0.7206439352401028,0.7223504737054172,-0.0014832472022273668
aware_auc_min,age_group,[65-75),auc,upper,0.7446761639605394,0.7461314710340684,0.0037571679315311405
aware_auc_min,age_group,[65-75),loss_bce,lower,0.18753717568198197,0.18748039007009176,-0.0007771669626360098
aware_auc_min,age_group,[65-75),loss_bce,mid,0.19177201701672053,0.19153964115283012,8.560204521551595e-05
aware_auc_min,age_group,[65-75),loss_bce,upper,0.1957939650521907,0.1952887529735959,0.0018775498207858662
aware_auc_min,age_group,[75-91),ace_abs_logistic_log,lower,0.0056159770692506645,0.005948871740065764,-0.003201077580665825
aware_auc_min,age_group,[75-91),ace_abs_logistic_log,mid,0.008265501276678086,0.009116960542910774,-0.0006292000357675876
aware_auc_min,age_group,[75-91),ace_abs_logistic_log,upper,0.013817394778892031,0.011232983941291871,0.005536451137701154
aware_auc_min,age_group,[75-91),auc,lower,0.6593347907773576,0.6588688492450164,-0.0061075387798085546
aware_auc_min,age_group,[75-91),auc,mid,0.6838581857345771,0.683334906606153,0.0005452971400944917
aware_auc_min,age_group,[75-91),auc,upper,0.7071968828351329,0.7068715315775764,0.006417934185820873
aware_auc_min,age_group,[75-91),loss_bce,lower,0.20420566159466266,0.20406135412722157,-0.000847940006429914
aware_auc_min,age_group,[75-91),loss_bce,mid,0.20779952725993883,0.20773144683557654,1.5763319504508155e-05
aware_auc_min,age_group,[75-91),loss_bce,upper,0.21157860088468888,0.21163803148134003,0.0011567848027126833
aware_auc_min,age_group,overall,ace_abs_logistic_log,lower,0.005155161856752512,0.004646101128073916,-0.002251611161217116
aware_auc_min,age_group,overall,ace_abs_logistic_log,mid,0.007027529099879476,0.007717463688192969,-0.00043513926471185635
aware_auc_min,age_group,overall,ace_abs_logistic_log,upper,0.012565294580706134,0.00881254513341913,0.0065556762521630264
aware_auc_min,age_group,overall,ace_abs_logistic_log_max,lower,0.0072221434648241925,0.006384203228365525,-0.002967080700833388
aware_auc_min,age_group,overall,ace_abs_logistic_log_max,mid,0.00907836783322638,0.009843903784672696,-0.00017934752505557958
aware_auc_min,age_group,overall,ace_abs_logistic_log_max,upper,0.01508632461427122,0.01139994822371534,0.00714306882645862
aware_auc_min,age_group,overall,ace_abs_logistic_log_min,lower,0.003411427966965362,0.003118655239704296,-0.003161338257891187
aware_auc_min,age_group,overall,ace_abs_logistic_log_min,mid,0.005172699090741905,0.005377707853854925,-0.00037371852099935465
aware_auc_min,age_group,overall,ace_abs_logistic_log_min,upper,0.010301318063985047,0.008270136029632903,0.0060703454639123655
aware_auc_min,age_group,overall,auc,lower,0.728073209274191,0.7287877172625092,-0.004101352133091887
aware_auc_min,age_group,overall,auc,mid,0.7381961295735828,0.7390756478811668,-0.000975485588434355
aware_auc_min,age_group,overall,auc,upper,0.7487202238915442,0.7499677814608942,0.002406311287427501
aware_auc_min,age_group,overall,auc_max,lower,0.7549541078906234,0.7571811142239192,-0.01016987394687471
aware_auc_min,age_group,overall,auc_max,mid,0.7779748874826778,0.780521664949781,-0.00224258596691318
aware_auc_min,age_group,overall,auc_max,upper,0.8006339063438922,0.8022015033479268,0.0026530480850594823
aware_auc_min,age_group,overall,auc_min,lower,0.6593252545188456,0.6588688492450164,-0.006139552734543372
aware_auc_min,age_group,overall,auc_min,mid,0.6836289290439124,0.6831617739143316,0.00048708994966784047
aware_auc_min,age_group,overall,auc_min,upper,0.7056784569215259,0.7055268693526142,0.006545076236936421
aware_auc_min,age_group,overall,loss_bce,lower,0.1767144044392643,0.17659718975032038,-0.000663233384801077
aware_auc_min,age_group,overall,loss_bce,mid,0.17863538195608253,0.1783886332545679,9.98440300481046e-05
aware_auc_min,age_group,overall,loss_bce,upper,0.18057409823060758,0.18010817004792692,0.0017231839306619304
aware_auc_min,age_group,overall,loss_bce_max,lower,0.20420566159466266,0.20406135412722157,-0.000847940006429914
